Total epochs processed: 150

{'epoch': '113', 'checkpoint_loss': 2.2802, 'average_training_loss': 2.2802, 'validation_loss': 2.54, 'learning_rate': 3.5e-05}
{'epoch': '114', 'checkpoint_loss': 2.2674, 'average_training_loss': 2.2674, 'validation_loss': 2.535, 'learning_rate': 3e-05}
{'epoch': '115', 'checkpoint_loss': 2.2539, 'average_training_loss': 2.2539, 'validation_loss': 2.5323, 'learning_rate': 2.5e-05}
{'epoch': '116', 'checkpoint_loss': 2.2413, 'average_training_loss': 2.2413, 'validation_loss': 2.5274, 'learning_rate': 2e-05}
{'epoch': '117', 'checkpoint_loss': 2.2287, 'average_training_loss': 2.2287, 'validation_loss': 2.5262, 'learning_rate': 1.5e-05}
{'epoch': '118', 'checkpoint_loss': 2.2184, 'average_training_loss': 2.2184, 'validation_loss': 2.5206, 'learning_rate': 1e-05}
{'epoch': '119', 'checkpoint_loss': 2.2085, 'average_training_loss': 2.2085, 'validation_loss': 2.5195, 'learning_rate': 5e-06}
{'epoch': '120', 'checkpoint_loss': 2.1999, 'average_training_loss': 2.1999, 'validation_loss': 2.5182, 'learning_rate': 1.25e-06}
{'epoch': '121', 'checkpoint_loss': 2.2056, 'average_training_loss': 2.2056, 'validation_loss': 2.5241, 'learning_rate': 2e-05}
{'epoch': '122', 'checkpoint_loss': 2.2301, 'average_training_loss': 2.2301, 'validation_loss': 2.537, 'learning_rate': 4e-05}
{'epoch': '123', 'checkpoint_loss': 2.2406, 'average_training_loss': 2.2406, 'validation_loss': 2.5328, 'learning_rate': 3.5e-05}
{'epoch': '124', 'checkpoint_loss': 2.2286, 'average_training_loss': 2.2286, 'validation_loss': 2.5267, 'learning_rate': 3e-05}
{'epoch': '125', 'checkpoint_loss': 2.2158, 'average_training_loss': 2.2158, 'validation_loss': 2.5214, 'learning_rate': 2.5e-05}
{'epoch': '126', 'checkpoint_loss': 2.2035, 'average_training_loss': 2.2035, 'validation_loss': 2.5173, 'learning_rate': 2e-05}
{'epoch': '127', 'checkpoint_loss': 2.1917, 'average_training_loss': 2.1917, 'validation_loss': 2.516, 'learning_rate': 1.5e-05}
{'epoch': '128', 'checkpoint_loss': 2.1808, 'average_training_loss': 2.1808, 'validation_loss': 2.5132, 'learning_rate': 1e-05}
{'epoch': '129', 'checkpoint_loss': 2.1709, 'average_training_loss': 2.1709, 'validation_loss': 2.5119, 'learning_rate': 5e-06}
{'epoch': '130', 'checkpoint_loss': 2.1619, 'average_training_loss': 2.1619, 'validation_loss': 2.5106, 'learning_rate': 1.25e-06}
{'epoch': '131', 'checkpoint_loss': 2.1674, 'average_training_loss': 2.1674, 'validation_loss': 2.5175, 'learning_rate': 2e-05}
{'epoch': '132', 'checkpoint_loss': 2.1936, 'average_training_loss': 2.1936, 'validation_loss': 2.5278, 'learning_rate': 4e-05}
{'epoch': '133', 'checkpoint_loss': 2.2049, 'average_training_loss': 2.2049, 'validation_loss': 2.5218, 'learning_rate': 3.5e-05}
{'epoch': '134', 'checkpoint_loss': 2.1932, 'average_training_loss': 2.1932, 'validation_loss': 2.5197, 'learning_rate': 3e-05}
{'epoch': '135', 'checkpoint_loss': 2.1811, 'average_training_loss': 2.1811, 'validation_loss': 2.5166, 'learning_rate': 2.5e-05}
